order_id,order_volume,warehouse_processing_time,shipment_distance_km,traffic_level,weather_severity,historical_delay_rate,delivery_status
123,291,6,203.09,2,2,0.2,At Risk
124,162,9,229.93,2,1,0.17,At Risk
125,154,5,87.62,1,1,0.1,On-Time
126,296,8,216.15,2,0,0.24,At Risk
127,86,6,219.32,1,0,0.14,On-Time
128,210,4,107.42,1,1,0.19,At Risk
129,152,2,142.21,2,1,0.12,On-Time
130,311,12,166.5,2,2,0.28,Delayed
131,271,4,199.84,1,2,0.14,At Risk
132,202,8,134.09,3,0,0.18,At Risk
133,259,12,104.45,3,3,0.32,Delayed
134,443,7,170.12,3,2,0.31,Delayed
135,380,10,169.95,2,1,0.32,Delayed
136,418,7,29.47,3,3,0.32,Delayed
137,365,11,55.54,2,3,0.32,Delayed
138,177,3,124.77,1,0,0.06,On-Time
139,305,8,184.79,3,3,0.34,Delayed
140,338,8,215.16,1,2,0.24,At Risk
141,157,5,248.51,2,0,0.11,On-Time
142,218,7,179.76,1,0,0.13,Delayed
143,472,12,119.81,3,2,0.3,Delayed
144,358,9,188.24,2,3,0.3,Delayed
145,374,10,66.11,2,1,0.35,Delayed
146,173,3,132.34,2,1,0.11,On-Time
147,182,3,243.26,1,1,0.12,On-Time
148,297,6,131.16,1,0,0.2,At Risk
149,326,11,135.84,2,1,0.25,Delayed
150,205,4,135.16,2,0,0.12,On-Time
151,183,4,108.48,1,0,0.06,On-Time
152,380,8,172.75,3,2,0.24,Delayed
153,152,2,142.21,2,1,0.12,On-Time
154,397,10,231.19,3,3,0.27,Delayed
155,365,8,125.92,3,0,0.23,At Risk
156,252,5,169.48,3,1,0.22,At Risk
157,313,4,245.95,1,0,0.19,At Risk
158,384,9,230.78,3,0,0.1,At Risk
159,297,7,210.93,3,1,0.29,Delayed
160,420,9,163.78,3,1,0.32,Delayed
161,483,9,123.9,2,1,0.34,Delayed
162,99,2,223.43,1,0,0.06,On-Time
163,181,4,234.47,2,0,0.1,At Risk
164,202,9,161.41,3,2,0.23,At Risk
165,412,12,198.15,2,1,0.18,Delayed
166,282,4,128.43,3,2,0.17,At Risk
167,177,3,106.36,2,0,0.12,On-Time
168,433,9,161.1,3,3,0.31,Delayed
169,362,6,71.23,2,2,0.19,At Risk
170,339,8,258.63,3,2,0.33,Delayed
171,196,5,105.62,1,1,0.08,On-Time
172,249,4,139.68,2,0,0.12,On-Time
173,82,2,42.36,2,0,0.14,On-Time
174,226,5,140.66,2,2,0.23,At Risk
175,435,7,209.85,2,2,0.32,Delayed
176,294,10,96.04,3,1,0.32,Delayed
177,375,11,106.48,3,3,0.31,Delayed
178,331,5,48.6,1,2,0.23,At Risk
179,330,5,183.95,3,0,0.15,At Risk
180,390,9,83.36,2,2,0.18,At Risk
181,237,6,141.49,1,1,0.07,On-Time
182,99,2,223.43,1,0,0.06,On-Time
183,263,6,175.94,2,1,0.18,At Risk
184,235,7,104.89,1,0,0.1,On-Time
185,377,11,56.31,2,1,0.28,Delayed
186,230,5,114.38,1,1,0.13,At Risk
187,372,12,129.08,3,1,0.31,Delayed
188,236,3,208.24,2,1,0.07,On-Time
189,271,4,199.84,1,2,0.14,At Risk
190,188,6,161.58,1,0,0.09,On-Time
191,266,9,261.7,2,1,0.2,Delayed
192,192,4,96.73,2,2,0.21,At Risk
193,320,10,191.17,3,1,0.25,Delayed
194,484,11,221.36,3,1,0.33,Delayed
195,247,9,114.98,1,2,0.22,At Risk
196,168,4,181.07,2,2,0.13,At Risk
197,282,11,64.98,3,2,0.31,Delayed
198,376,12,213.46,2,3,0.25,Delayed
199,310,5,116.6,1,2,0.22,At Risk
200,255,10,218.27,3,1,0.27,Delayed
201,94,7,150.42,1,0,0.13,On-Time
202,389,4,174.0,3,1,0.14,At Risk
203,215,7,93.8,1,0,0.24,At Risk
204,181,4,234.47,2,0,0.1,At Risk
205,380,8,172.75,3,2,0.24,Delayed
206,164,6,138.78,2,2,0.22,At Risk
207,385,10,245.52,3,2,0.23,Delayed
208,272,6,146.87,2,0,0.12,At Risk
209,365,9,148.54,2,2,0.23,Delayed
210,157,6,178.49,3,0,0.17,At Risk
211,270,9,106.71,3,1,0.19,At Risk
212,134,6,133.9,1,1,0.09,On-Time
213,380,10,169.95,2,1,0.32,Delayed
214,206,6,174.86,2,0,0.08,On-Time
215,371,5,233.68,2,0,0.17,On-Time
216,474,6,158.81,2,3,0.24,Delayed
217,78,3,221.95,1,0,0.15,On-Time
218,85,4,255.01,1,0,0.09,On-Time
219,176,7,129.9,3,2,0.13,At Risk
220,101,3,128.77,2,0,0.13,On-Time
221,202,9,161.41,3,2,0.23,At Risk
222,182,5,133.32,2,1,0.11,On-Time
223,253,6,222.52,3,0,0.2,At Risk
224,78,3,221.95,1,0,0.15,On-Time
225,397,10,231.19,3,3,0.27,Delayed
226,137,2,222.64,2,1,0.11,On-Time
227,218,2,73.8,1,1,0.06,On-Time
228,232,7,185.83,1,0,0.1,On-Time
229,498,6,152.13,2,3,0.34,At Risk
230,200,7,76.43,2,1,0.1,On-Time
231,145,4,148.44,1,0,0.1,On-Time
232,245,6,133.79,3,1,0.25,At Risk
233,188,6,243.16,3,1,0.17,At Risk
234,352,9,102.82,2,1,0.27,Delayed
235,268,11,155.47,3,2,0.31,Delayed
236,380,8,172.75,3,2,0.24,Delayed
237,211,6,177.61,2,2,0.15,At Risk
238,119,3,204.92,2,0,0.06,On-Time
239,500,6,139.14,2,1,0.31,Delayed
240,279,9,89.18,2,2,0.34,Delayed
241,182,4,130.47,1,2,0.1,At Risk
242,200,7,76.43,2,1,0.1,On-Time
243,170,5,206.45,3,1,0.15,At Risk
244,474,8,177.62,3,3,0.23,Delayed
245,328,8,202.74,3,0,0.19,At Risk
246,257,8,114.33,3,3,0.27,Delayed
247,365,5,68.71,1,1,0.17,At Risk
248,245,7,105.16,2,0,0.11,On-Time
249,155,5,246.59,2,2,0.25,At Risk
250,294,6,248.95,2,2,0.21,At Risk
251,388,7,274.55,2,1,0.27,Delayed
252,398,4,193.53,3,2,0.25,At Risk
253,120,6,186.44,2,0,0.11,On-Time
254,83,4,249.17,1,1,0.09,On-Time
255,119,3,204.92,2,0,0.06,On-Time
256,113,7,207.63,1,1,0.07,On-Time
257,254,8,150.63,1,1,0.13,At Risk
258,433,9,161.1,3,3,0.31,Delayed
259,396,9,91.16,3,2,0.27,Delayed
260,467,12,176.39,2,2,0.3,Delayed
261,234,6,207.71,2,1,0.06,On-Time
262,299,7,125.48,2,3,0.33,Delayed
263,325,8,277.32,1,2,0.11,At Risk
264,469,8,199.6,2,1,0.3,At Risk
265,338,8,215.16,1,2,0.24,At Risk
266,127,4,193.56,2,0,0.09,On-Time
267,427,10,84.37,2,3,0.29,Delayed
268,204,9,209.24,3,2,0.23,At Risk
269,465,8,281.03,3,3,0.28,Delayed
270,394,10,216.82,2,1,0.2,Delayed
271,326,4,37.67,1,0,0.18,On-Time
272,310,5,116.6,1,2,0.22,At Risk
273,412,10,298.23,3,2,0.33,Delayed
274,106,3,122.62,1,1,0.05,At Risk
275,399,8,245.29,2,2,0.13,At Risk
276,321,11,239.88,3,1,0.19,Delayed
277,150,4,192.22,2,1,0.08,On-Time
278,204,9,209.24,3,2,0.23,At Risk
279,435,7,209.85,2,2,0.32,Delayed
280,252,6,124.15,2,3,0.21,Delayed
281,260,9,153.77,3,0,0.21,At Risk
282,203,4,176.4,3,1,0.18,At Risk
283,206,6,174.86,2,0,0.08,On-Time
284,204,9,209.24,3,2,0.23,At Risk
285,418,9,153.55,2,2,0.28,Delayed
286,480,10,287.27,3,2,0.21,Delayed
287,151,8,174.59,1,2,0.15,At Risk
288,229,5,205.73,3,0,0.17,At Risk
289,137,4,210.25,1,0,0.12,On-Time
290,269,11,173.23,2,1,0.35,Delayed
291,99,2,194.49,1,1,0.09,Delayed
292,119,3,204.92,2,0,0.06,On-Time
293,500,6,139.14,2,1,0.31,Delayed
294,71,7,212.01,1,0,0.1,On-Time
295,419,8,155.32,3,3,0.33,Delayed
296,268,7,141.42,2,1,0.22,Delayed
297,340,5,205.69,2,1,0.12,At Risk
298,433,9,161.1,3,3,0.31,Delayed
299,191,6,70.66,1,0,0.08,On-Time
300,325,8,277.32,1,2,0.11,At Risk
301,155,5,246.59,2,2,0.25,At Risk
302,129,6,190.01,2,1,0.13,On-Time
303,294,6,100.22,3,1,0.31,Delayed
304,316,6,147.37,2,1,0.27,Delayed
305,340,6,81.98,2,1,0.24,At Risk
306,197,7,161.11,1,1,0.08,On-Time
307,191,4,58.5,2,0,0.12,On-Time
308,173,9,167.38,2,2,0.16,At Risk
309,352,7,200.17,3,0,0.16,On-Time
310,263,6,175.94,2,1,0.18,At Risk
311,141,5,167.24,1,0,0.12,On-Time
312,236,5,222.97,1,0,0.07,On-Time
313,265,7,203.09,2,2,0.18,Delayed
314,333,12,97.59,2,1,0.33,Delayed
315,483,9,200.33,3,2,0.26,Delayed
316,208,7,153.92,1,1,0.13,At Risk
317,247,6,194.96,3,0,0.19,At Risk
318,220,5,251.55,1,1,0.13,On-Time
319,323,10,176.6,2,1,0.28,Delayed
320,67,4,189.16,1,1,0.15,On-Time
321,274,9,262.08,3,3,0.19,Delayed
322,117,2,235.44,1,0,0.13,On-Time
323,252,5,169.48,3,1,0.22,At Risk
324,309,8,100.09,3,3,0.27,Delayed
325,84,2,149.9,1,0,0.08,On-Time
326,122,3,200.49,2,0,0.08,On-Time
327,416,10,194.03,2,2,0.25,Delayed
328,379,6,90.57,3,2,0.32,Delayed
329,491,10,167.05,3,1,0.19,Delayed
330,348,7,169.38,2,3,0.25,Delayed
331,154,5,87.62,1,1,0.1,On-Time
332,376,11,94.67,2,3,0.19,Delayed
333,264,6,149.96,2,0,0.16,At Risk
334,71,7,212.01,1,0,0.1,On-Time
335,256,12,124.47,2,3,0.3,Delayed
336,157,7,149.88,2,0,0.11,On-Time
337,323,10,176.6,2,1,0.28,Delayed
338,98,5,47.07,2,0,0.11,On-Time
339,349,5,256.45,1,1,0.23,At Risk
340,168,4,181.07,2,2,0.13,At Risk
341,385,6,143.85,1,0,0.21,Delayed
342,243,4,152.61,1,1,0.2,At Risk
343,401,12,170.3,2,1,0.24,Delayed
344,165,7,182.26,2,0,0.08,On-Time
345,307,5,180.23,1,0,0.11,At Risk
346,245,6,133.79,3,1,0.25,At Risk
347,380,9,140.24,3,3,0.21,Delayed
348,468,6,86.2,2,2,0.3,Delayed
349,362,6,71.23,2,2,0.19,At Risk
350,228,8,72.49,3,0,0.13,At Risk
351,88,5,97.61,1,1,0.09,On-Time
352,341,9,126.01,3,2,0.27,Delayed
353,182,5,133.32,2,1,0.11,On-Time
354,268,11,155.47,3,2,0.31,Delayed
355,238,9,113.18,3,2,0.24,At Risk
356,130,3,228.76,2,1,0.1,On-Time
357,396,12,183.82,2,1,0.3,Delayed
358,213,4,232.51,2,1,0.13,At Risk
359,232,6,251.04,1,0,0.13,On-Time
360,368,7,194.23,3,3,0.27,Delayed
361,342,8,259.57,3,1,0.19,Delayed
362,154,5,87.62,1,1,0.1,On-Time
363,274,9,262.08,3,3,0.19,Delayed
364,256,12,124.47,2,3,0.3,Delayed
365,380,9,190.32,3,1,0.2,At Risk
366,396,10,88.5,2,3,0.19,Delayed
367,208,9,250.85,2,2,0.22,At Risk
368,418,9,153.55,2,2,0.28,Delayed
369,324,7,245.56,2,3,0.27,At Risk
370,116,6,126.09,1,0,0.14,On-Time
371,210,8,155.78,2,1,0.11,At Risk
372,403,11,156.83,3,2,0.19,Delayed
373,97,6,177.01,2,1,0.14,On-Time
374,497,8,201.43,2,2,0.27,Delayed
375,134,6,133.9,1,1,0.09,On-Time
376,297,7,189.37,2,2,0.11,At Risk
377,127,4,193.56,2,0,0.09,On-Time
378,177,3,106.36,2,0,0.12,On-Time
379,65,4,106.5,2,0,0.13,On-Time
380,482,12,120.69,2,3,0.31,Delayed
381,296,6,209.57,3,0,0.19,At Risk
382,467,9,126.84,3,1,0.27,Delayed
383,156,4,71.87,1,0,0.11,On-Time
384,182,5,113.41,2,0,0.14,On-Time
385,205,5,262.96,3,2,0.14,At Risk
386,193,9,105.66,1,1,0.1,At Risk
387,370,4,233.4,3,1,0.24,At Risk
388,486,10,198.22,2,2,0.32,Delayed
389,474,8,177.62,3,3,0.23,Delayed
390,273,7,128.37,3,1,0.34,Delayed
391,252,6,124.15,2,3,0.21,Delayed
392,480,6,255.32,3,1,0.22,Delayed
393,242,7,175.87,1,1,0.05,On-Time
394,368,12,197.87,3,3,0.19,On-Time
395,169,4,204.45,3,2,0.1,At Risk
396,94,6,197.95,2,1,0.13,On-Time
397,210,8,155.78,2,1,0.11,At Risk
398,373,9,129.23,2,0,0.14,At Risk
399,345,11,64.03,3,2,0.22,Delayed
400,106,3,122.62,1,1,0.05,At Risk
401,268,11,155.47,3,2,0.31,Delayed
402,177,3,106.36,2,0,0.12,On-Time
403,97,2,174.77,1,0,0.11,On-Time
404,392,11,209.45,3,3,0.35,Delayed
405,354,11,160.13,2,1,0.23,Delayed
406,51,3,69.71,2,0,0.05,On-Time
407,320,7,211.17,3,3,0.27,Delayed
408,468,6,86.2,2,2,0.3,Delayed
409,292,8,290.7,3,1,0.31,Delayed
410,211,5,203.68,1,1,0.25,At Risk
411,75,2,123.55,2,0,0.13,At Risk
412,187,6,205.93,1,0,0.07,On-Time
413,75,3,33.9,1,0,0.11,On-Time
414,155,2,220.97,2,1,0.05,On-Time
415,215,3,208.23,1,1,0.07,On-Time
416,361,10,165.83,2,2,0.21,Delayed
417,167,3,148.68,1,1,0.11,On-Time
418,362,5,215.88,2,0,0.2,At Risk
419,235,7,104.89,1,0,0.1,On-Time
420,255,5,249.8,1,1,0.25,At Risk
421,482,12,120.69,2,3,0.31,Delayed
422,274,9,186.02,2,2,0.25,Delayed
423,80,4,235.74,1,0,0.1,On-Time
424,51,3,69.71,2,0,0.05,On-Time
425,374,10,66.11,2,1,0.35,Delayed
426,365,8,125.92,3,0,0.23,At Risk
427,199,3,33.74,2,1,0.1,On-Time
428,352,7,200.17,3,0,0.16,On-Time
429,245,6,133.79,3,1,0.25,At Risk
430,420,9,163.78,3,1,0.32,Delayed
431,371,4,179.99,1,1,0.21,Delayed
432,285,10,174.42,3,3,0.34,Delayed
433,376,11,94.67,2,3,0.19,Delayed
434,221,6,182.68,2,1,0.15,On-Time
435,243,3,75.64,1,1,0.07,On-Time
436,115,2,168.1,2,0,0.07,At Risk
437,384,7,102.65,2,1,0.12,At Risk
438,341,9,132.63,1,1,0.23,At Risk
439,52,2,196.63,1,0,0.09,On-Time
440,272,10,162.31,3,1,0.23,Delayed
441,285,9,177.08,2,3,0.24,Delayed
442,329,6,79.55,3,2,0.23,At Risk
443,329,5,150.25,2,0,0.15,At Risk
444,68,3,246.61,2,1,0.1,On-Time
445,385,12,238.87,3,3,0.3,Delayed
446,182,4,130.47,1,2,0.1,At Risk
447,250,9,33.49,3,2,0.26,Delayed
448,331,7,290.03,2,3,0.2,Delayed
449,255,5,249.8,1,1,0.25,At Risk
450,498,6,152.13,2,3,0.34,At Risk
451,117,2,235.44,1,0,0.13,On-Time
452,209,6,189.41,2,2,0.18,Delayed
453,319,5,163.78,2,1,0.19,At Risk
454,360,6,130.68,2,1,0.13,At Risk
455,220,4,118.94,2,2,0.23,At Risk
456,97,6,177.01,2,1,0.14,On-Time
457,330,8,129.52,2,2,0.17,At Risk
458,482,12,120.69,2,3,0.31,Delayed
459,65,4,106.5,2,0,0.13,On-Time
460,204,8,188.79,2,1,0.16,At Risk
461,249,4,139.68,2,0,0.12,On-Time
462,318,11,131.55,3,3,0.33,Delayed
463,318,8,90.07,1,0,0.23,At Risk
464,221,2,76.54,1,0,0.07,On-Time
465,95,6,174.72,2,0,0.06,On-Time
466,301,6,93.6,1,0,0.11,At Risk
467,151,8,174.59,1,2,0.15,At Risk
468,268,4,15.76,2,2,0.2,At Risk
469,265,5,215.89,3,0,0.12,At Risk
470,378,7,208.61,2,0,0.18,At Risk
471,381,11,246.53,3,2,0.21,Delayed
472,187,5,191.75,1,1,0.12,On-Time
473,177,3,106.36,2,0,0.12,On-Time
474,192,4,96.73,2,2,0.21,At Risk
475,257,8,114.33,3,3,0.27,Delayed
476,497,8,201.43,2,2,0.27,Delayed
477,236,5,222.97,1,0,0.07,On-Time
478,379,6,90.57,3,2,0.32,Delayed
479,394,10,216.82,2,1,0.2,Delayed
480,351,7,126.84,3,3,0.31,Delayed
481,496,6,185.91,2,1,0.29,Delayed
482,164,4,132.14,1,2,0.13,At Risk
483,177,3,106.36,2,0,0.12,On-Time
484,387,6,117.08,2,3,0.18,Delayed
485,197,2,107.18,2,1,0.1,On-Time
486,374,12,105.15,3,1,0.23,Delayed
487,146,2,247.1,2,0,0.14,On-Time
488,377,8,116.2,3,0,0.23,At Risk
489,140,4,126.38,1,0,0.06,On-Time
490,129,2,145.12,1,1,0.11,On-Time
491,340,8,149.19,3,0,0.11,At Risk
492,361,10,165.83,2,2,0.21,Delayed
493,223,5,136.37,3,1,0.16,At Risk
494,123,7,191.21,2,0,0.09,On-Time
495,343,6,196.2,3,2,0.12,At Risk
496,80,4,126.51,2,1,0.13,Delayed
497,159,9,62.02,3,2,0.14,At Risk
498,344,8,167.77,3,1,0.27,Delayed
499,229,5,205.73,3,0,0.17,At Risk
500,222,5,100.38,1,1,0.19,At Risk
501,123,7,191.21,2,0,0.09,On-Time
502,362,6,71.23,2,2,0.19,At Risk
503,69,4,183.99,2,1,0.07,On-Time
504,335,6,200.39,3,1,0.2,Delayed
505,201,5,192.61,1,1,0.08,On-Time
506,356,8,123.57,2,2,0.28,Delayed
507,294,10,96.04,3,1,0.32,Delayed
508,180,5,296.88,1,0,0.06,Delayed
509,235,3,93.26,2,1,0.06,On-Time
510,335,10,160.73,2,1,0.33,Delayed
511,283,12,155.85,3,3,0.22,Delayed
512,258,11,165.1,3,2,0.25,Delayed
513,183,4,108.48,1,0,0.06,On-Time
514,321,11,239.88,3,1,0.19,Delayed
515,180,2,237.31,1,0,0.06,On-Time
516,474,11,188.64,3,1,0.25,Delayed
517,169,4,204.45,3,2,0.1,At Risk
518,165,7,182.26,2,0,0.08,On-Time
519,372,12,129.08,3,1,0.31,Delayed
520,455,10,172.3,3,2,0.2,Delayed
521,57,2,72.24,1,0,0.11,On-Time
522,249,4,123.31,1,0,0.13,On-Time
523,264,7,77.72,1,2,0.12,At Risk
524,265,5,215.89,3,0,0.12,At Risk
525,176,7,129.9,3,2,0.13,At Risk
526,245,4,194.93,1,1,0.15,On-Time
527,255,9,128.26,1,0,0.2,At Risk
528,184,4,13.15,2,2,0.23,At Risk
529,167,9,164.72,2,0,0.22,At Risk
530,71,3,196.25,2,1,0.06,On-Time
531,246,5,262.66,3,0,0.16,At Risk
532,270,9,106.71,3,1,0.19,At Risk
533,271,6,144.1,1,2,0.19,At Risk
534,188,6,243.16,3,1,0.17,At Risk
535,152,4,244.79,1,2,0.14,At Risk
536,164,4,191.39,3,0,0.2,At Risk
537,157,6,178.49,3,0,0.17,At Risk
538,381,12,64.77,3,2,0.3,At Risk
539,316,7,237.29,3,3,0.35,Delayed
540,64,2,169.53,1,1,0.14,On-Time
541,385,12,238.87,3,3,0.3,Delayed
542,221,2,76.54,1,0,0.07,On-Time
543,219,7,190.6,1,0,0.11,On-Time
544,256,12,205.4,2,3,0.27,Delayed
545,343,5,192.61,3,0,0.11,At Risk
546,221,6,182.68,2,1,0.15,On-Time
547,171,7,261.14,2,0,0.24,At Risk
548,167,2,89.22,1,1,0.11,On-Time
549,356,8,169.67,1,0,0.13,At Risk
550,169,6,52.39,2,1,0.09,On-Time
551,391,4,131.97,3,2,0.17,At Risk
552,91,4,167.94,2,0,0.14,On-Time
553,457,10,154.52,2,3,0.19,Delayed
554,350,10,123.79,2,2,0.28,Delayed
555,180,5,296.88,1,0,0.06,Delayed
556,86,3,140.54,1,0,0.05,On-Time
557,487,9,130.92,2,2,0.19,Delayed
558,296,8,213.23,3,3,0.34,Delayed
559,247,9,114.98,1,2,0.22,At Risk
560,211,6,177.61,2,2,0.15,At Risk
561,180,6,118.13,3,2,0.13,At Risk
562,116,4,85.05,1,1,0.14,On-Time
563,83,5,185.75,1,1,0.13,Delayed
564,222,5,100.38,1,1,0.19,At Risk
565,358,12,90.09,2,3,0.2,Delayed
566,489,7,90.13,3,3,0.27,Delayed
567,427,10,84.37,2,3,0.29,Delayed
568,176,7,129.9,3,2,0.13,At Risk
569,411,12,183.81,3,3,0.32,Delayed
570,324,7,14.18,1,0,0.21,At Risk
571,205,5,262.96,3,2,0.14,At Risk
572,449,9,119.35,3,2,0.25,Delayed
573,435,7,209.85,2,2,0.32,Delayed
574,197,2,107.18,2,1,0.1,On-Time
575,353,5,82.18,2,1,0.18,At Risk
576,340,5,205.69,2,1,0.12,At Risk
577,396,10,88.5,2,3,0.19,Delayed
578,137,2,222.64,2,1,0.11,On-Time
579,390,9,83.36,2,2,0.18,At Risk
580,350,6,159.7,3,2,0.1,At Risk
581,356,5,187.19,2,1,0.24,At Risk
582,315,10,202.81,3,2,0.34,Delayed
583,271,9,172.46,3,1,0.18,At Risk
584,450,12,219.6,2,3,0.32,Delayed
585,333,12,97.59,2,1,0.33,Delayed
586,78,6,131.86,2,1,0.1,On-Time
587,228,6,111.89,1,1,0.07,On-Time
588,184,4,13.15,2,2,0.23,At Risk
589,235,9,107.65,3,0,0.16,At Risk
590,307,5,180.23,1,0,0.11,At Risk
591,243,4,152.61,1,1,0.2,At Risk
592,227,5,229.86,3,1,0.16,At Risk
593,307,8,158.41,3,2,0.28,Delayed
594,470,7,244.72,2,3,0.2,Delayed
595,449,8,222.85,2,3,0.25,Delayed
596,354,7,187.79,3,2,0.28,Delayed
597,52,2,196.63,1,0,0.09,On-Time
598,65,4,106.5,2,0,0.13,On-Time
599,432,11,110.1,2,3,0.22,Delayed
600,193,9,105.66,1,1,0.1,At Risk
601,140,5,183.34,1,0,0.06,On-Time
602,304,6,165.93,3,2,0.11,At Risk
603,153,4,155.97,1,0,0.13,On-Time
